Rank,Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Extracted_Entities,Discover_Score,Saturation_Score,Rank_Sorted
27,3b meteo,71.27586206896552,44.63025210084034,29.494082840236686,3b meteo - Previsioni - Meteo,17.58375197889164,1.0,1
28,teams,44.775862068965516,14.836134453781511,24.514792899408285,Microsoft Teams - Comunicazione aziendale - Collaborazione online - Strumenti di produttività,11.135242551461017,1.0,2
1,val kilmer,63.62931034482759,44.8046218487395,1.9437869822485208,Val Kilmer - Attore - Filmografia - Salute,8.129659314417067,1.0,3
2,empoli - bologna,57.78448275862069,35.9327731092437,4.349112426035504,Empoli - Bologna - Calcio - Serie A - Partita,8.076708681130627,1.0,4
3,real madrid - real sociedad,28.56896551724138,37.002100840336134,3.378698224852071,Real Madrid - Real Sociedad - Calcio - Partita - Liga Spagnola,6.487912061580936,1.0,5
31,gamestop,9.163793103448276,0.9915966386554622,17.597633136094675,GameStop - Azioni - Videogiochi - Retail - Investimenti,6.220488023996597,1.0,6
44,invalsi,63.11206896551724,23.451680672268907,12.665680473372781,INVALSI - Test - Scuola - Valutazione - Italia,6.153811029937677,21.32440397275737,7
29,2 aprile,52.5948275862069,55.63235294117647,3.6479289940828403,2 aprile - Eventi storici - Compleanni celebri - Festività - Anniversari,5.752359290654743,1.0,8
4,suor paola,29.21551724137931,33.36764705882353,2.739644970414201,Suor Paola - Religione - Personaggio pubblico,5.105325646080814,1.0,9
36,arera,0.14655172413793102,0.1827731092436975,15.363905325443787,ARERA - Autorità di Regolazione per Energia Reti e Ambiente - Energia - Regolazione - Italia,5.064904082096126,1.0,10
19,dazi trump,19.5,1.8466386554621848,12.00887573964497,Dazi - Trump - Politica commerciale - Stati Uniti - Economia,4.556747918999435,4.243024568367942,11
35,unimi,2.4913793103448274,0.7563025210084033,12.473372781065088,Università degli Studi di Milano - Università - Milano - Istruzione - Studenti,4.064013408228758,1.0,12
47,estrazione lotto,33.55172413793103,7.878151260504201,10.7396449704142,Estrazione - Lotto - Gioco d'azzardo - Numeri - Vincite,3.90977973842206,1.0,13
43,inter milan,54.97413793103448,13.638655462184875,7.982248520710059,Inter - Milan - Calcio - Serie A - Derby di Milano,3.5424413036365707,25.89943863211085,14
7,paolo guzzanti,18.17241379310345,4.100840336134453,6.5295857988165675,Paolo Guzzanti - Giornalista - Politica Italiana - Scrittore - Italia,3.223161400456356,1.0,15
38,lacerenza,5.146551724137931,1.0294117647058822,8.2396449704142,Lacerenza,2.553700449589005,1.0,16
6,stefano argentino,2.086206896551724,0.930672268907563,5.381656804733728,Stefano Argentino,2.37230773098526,1.0,17
41,wisconsin,0.1724137931034483,0.10084033613445378,7.201183431952662,Wisconsin - Stati Uniti - Turismo - Politica - Economia,2.101038134278385,1.0,18
18,giovanni paolo ii,22.966393921683228,3.102941176470588,5.269230769230769,Giovanni Paolo II - Papa - Vaticano - Chiesa Cattolica - Pontificato,2.0390042273456426,100.0,19
5,luigi mangione,2.4482758620689653,4.199579831932773,3.42603550295858,Luigi Mangione,1.9270829826720293,9.399313631163873,20
34,psg,4.025862068965517,3.5693277310924367,5.488165680473372,PSG - Paris Saint-Germain - Calcio - Ligue 1 - Club calcistico,1.9256921921880614,1.0,21
48,new zealand vs pakistan,0.0,7.493697478991597,3.86094674556213,New Zealand - Pakistan - Partita di cricket - Competizione sportiva - Squadre nazionali,1.6444487455341152,1.0,22
9,top gun,50.258620689655174,10.359243697478991,1.7662721893491125,Top Gun - Film - Tom Cruise - Aviazione - Anni '80,1.608365296908516,1.0,23
11,nottingham forest - manchester united,1.5948275862068966,1.0945378151260505,4.038461538461538,Nottingham Forest - Manchester United - Partita di calcio - Premier League,1.5529550152121883,1.0,24
13,coppa del re,3.0258620689655173,1.7352941176470589,3.6775147928994083,Coppa del Re - Calcio - Spagna - Competizione - Real Madrid,1.4327411653077018,1.0,25
39,iovino,3.6379310344827585,0.7394957983193278,4.298816568047338,Iovino,1.282370164867331,1.0,26
10,nuovo tasto whatsapp,1.043103448275862,0.884453781512605,3.103550295857988,WhatsApp - Nuovo tasto - Funzionalità - Aggiornamento,1.2058279138059707,1.0,27
8,francesca mannocchi sclerosi multipla,11.922413793103448,1.319327731092437,2.742603550295858,Francesca Mannocchi - Sclerosi Multipla,1.1654768894272463,1.0,28
22,filippo bonacchi,2.3103448275862073,0.40336134453781514,3.1420118343195265,Filippo Bonacchi,1.014560341884006,1.0,29
12,arsenal - fulham,0.23275862068965517,1.134453781512605,2.4082840236686387,Arsenal - Fulham - Partita di calcio - Premier League,0.9449330503506811,1.0,30
46,lucia bronzetti,0.0,0.5735294117647058,3.0562130177514795,Lucia Bronzetti - Tennis - Italia,0.890548232645797,1.0,31
17,nuggets - timberwolves,10.24137931034483,2.934873949579832,1.772189349112426,Denver Nuggets - Minnesota Timberwolves - NBA - Partita - Basket,0.8374912281573125,1.0,32
14,bonus 1000 euro,4.724137931034482,1.4432773109243697,1.7603550295857988,Bonus - 1000 euro - Incentivi - Finanziamenti,0.7352427741323228,1.0,33
33,arminia bielefeld,1.517241379310345,0.819327731092437,2.2544378698224854,Arminia Bielefeld - Calcio - Bundesliga - Germania,0.7310914369065022,1.0,34
15,vincenzo sarno,0.0,0.09243697478991597,1.9349112426035502,Vincenzo Sarno - Calciatore - Sport - Carriera,0.6678559869624462,1.0,35
21,dallinga,0.7758620689655172,0.45588235294117646,1.86094674556213,Dallinga,0.6395181549809195,1.0,36
37,tredici pietro psicofarmaci,0.1896551724137931,0.24789915966386555,1.816568047337278,Tredici Pietro - Psicofarmaci - Musica,0.5599527324031751,1.0,37
26,angelo madonia,0.0,1.0399159663865547,1.3875739644970415,Angelo Madonia,0.5316293097514223,1.0,38
25,cory booker,0.0,0.46638655462184875,1.2603550295857988,Cory Booker - Politica - Senato USA - New Jersey,0.45773968278938093,1.0,39
42,buongiorno 2 aprile 2025,1.3706896551724137,0.638655462184874,1.3195266272189348,Buongiorno - 2 aprile 2025 - Calendario - Data,0.4518626549051771,1.0,40
24,giulia penna,0.0,0.0,1.3106508875739644,Giulia Penna - Cantante - Influencer - Italia,0.4395862173719542,1.0,41
50,coppa di francia,1.3362068965517242,0.36764705882352944,1.3402366863905326,Coppa di Francia - Calcio - Francia - Torneo - Competizione,0.42818471828235016,1.0,42
